demojized,description
:kiss_woman_man_dark_skin_tone:,"couple, dark skin tone, kiss, man, woman, kiss:, woman,, man,, dark, skin, tone"
:kiss_man_man:,"couple, kiss, man, kiss:, man,, man"
:kiss_man_man_light_skin_tone:,"couple, kiss, light skin tone, man, kiss:, man,, man,, light, skin, tone"
:kiss_man_man_light_skin_tone_medium-light_skin_tone:,"couple, kiss, light skin tone, man, medium-light skin tone, kiss:, man,, man,, light, skin, tone,, medium-light, skin, tone"
:kiss_man_man_light_skin_tone_medium_skin_tone:,"couple, kiss, light skin tone, man, medium skin tone, kiss:, man,, man,, light, skin, tone,, medium, skin, tone"
:kiss_man_man_light_skin_tone_medium-dark_skin_tone:,"couple, kiss, light skin tone, man, medium-dark skin tone, kiss:, man,, man,, light, skin, tone,, medium-dark, skin, tone"
:kiss_man_man_light_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, light skin tone, man, kiss:, man,, man,, light, skin, tone,, dark, skin, tone"
:kiss_man_man_medium-light_skin_tone_light_skin_tone:,"couple, kiss, light skin tone, man, medium-light skin tone, kiss:, man,, man,, medium-light, skin, tone,, light, skin, tone"
:kiss_man_man_medium-light_skin_tone:,"couple, kiss, man, medium-light skin tone, kiss:, man,, man,, medium-light, skin, tone"
:kiss_man_man_medium-light_skin_tone_medium_skin_tone:,"couple, kiss, man, medium skin tone, medium-light skin tone, kiss:, man,, man,, medium-light, skin, tone,, medium, skin, tone"
:kiss_man_man_medium-light_skin_tone_medium-dark_skin_tone:,"couple, kiss, man, medium-dark skin tone, medium-light skin tone, kiss:, man,, man,, medium-light, skin, tone,, medium-dark, skin, tone"
:kiss_man_man_medium-light_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, man, medium-light skin tone, kiss:, man,, man,, medium-light, skin, tone,, dark, skin, tone"
:kiss_man_man_medium_skin_tone_light_skin_tone:,"couple, kiss, light skin tone, man, medium skin tone, kiss:, man,, man,, medium, skin, tone,, light, skin, tone"
:kiss_man_man_medium_skin_tone_medium-light_skin_tone:,"couple, kiss, man, medium skin tone, medium-light skin tone, kiss:, man,, man,, medium, skin, tone,, medium-light, skin, tone"
:kiss_man_man_medium_skin_tone:,"couple, kiss, man, medium skin tone, kiss:, man,, man,, medium, skin, tone"
:kiss_man_man_medium_skin_tone_medium-dark_skin_tone:,"couple, kiss, man, medium skin tone, medium-dark skin tone, kiss:, man,, man,, medium, skin, tone,, medium-dark, skin, tone"
:kiss_man_man_medium_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, man, medium skin tone, kiss:, man,, man,, medium, skin, tone,, dark, skin, tone"
:kiss_man_man_medium-dark_skin_tone_light_skin_tone:,"couple, kiss, light skin tone, man, medium-dark skin tone, kiss:, man,, man,, medium-dark, skin, tone,, light, skin, tone"
:kiss_man_man_medium-dark_skin_tone_medium-light_skin_tone:,"couple, kiss, man, medium-dark skin tone, medium-light skin tone, kiss:, man,, man,, medium-dark, skin, tone,, medium-light, skin, tone"
:kiss_man_man_medium-dark_skin_tone_medium_skin_tone:,"couple, kiss, man, medium skin tone, medium-dark skin tone, kiss:, man,, man,, medium-dark, skin, tone,, medium, skin, tone"
:kiss_man_man_medium-dark_skin_tone:,"couple, kiss, man, medium-dark skin tone, kiss:, man,, man,, medium-dark, skin, tone"
:kiss_man_man_medium-dark_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, man, medium-dark skin tone, kiss:, man,, man,, medium-dark, skin, tone,, dark, skin, tone"
:kiss_man_man_dark_skin_tone_light_skin_tone:,"couple, dark skin tone, kiss, light skin tone, man, kiss:, man,, man,, dark, skin, tone,, light, skin, tone"
:kiss_man_man_dark_skin_tone_medium-light_skin_tone:,"couple, dark skin tone, kiss, man, medium-light skin tone, kiss:, man,, man,, dark, skin, tone,, medium-light, skin, tone"
:kiss_man_man_dark_skin_tone_medium_skin_tone:,"couple, dark skin tone, kiss, man, medium skin tone, kiss:, man,, man,, dark, skin, tone,, medium, skin, tone"
:kiss_man_man_dark_skin_tone_medium-dark_skin_tone:,"couple, dark skin tone, kiss, man, medium-dark skin tone, kiss:, man,, man,, dark, skin, tone,, medium-dark, skin, tone"
:kiss_man_man_dark_skin_tone:,"couple, dark skin tone, kiss, man, kiss:, man,, man,, dark, skin, tone"
:kiss_woman_woman:,"couple, kiss, woman, kiss:, woman,, woman"
:kiss_woman_woman_light_skin_tone:,"couple, kiss, light skin tone, woman, kiss:, woman,, woman,, light, skin, tone"
:kiss_woman_woman_light_skin_tone_medium-light_skin_tone:,"couple, kiss, light skin tone, medium-light skin tone, woman, kiss:, woman,, woman,, light, skin, tone,, medium-light, skin, tone"
:kiss_woman_woman_light_skin_tone_medium_skin_tone:,"couple, kiss, light skin tone, medium skin tone, woman, kiss:, woman,, woman,, light, skin, tone,, medium, skin, tone"
:kiss_woman_woman_light_skin_tone_medium-dark_skin_tone:,"couple, kiss, light skin tone, medium-dark skin tone, woman, kiss:, woman,, woman,, light, skin, tone,, medium-dark, skin, tone"
:kiss_woman_woman_light_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, light skin tone, woman, kiss:, woman,, woman,, light, skin, tone,, dark, skin, tone"
:kiss_woman_woman_medium-light_skin_tone_light_skin_tone:,"couple, kiss, light skin tone, medium-light skin tone, woman, kiss:, woman,, woman,, medium-light, skin, tone,, light, skin, tone"
:kiss_woman_woman_medium-light_skin_tone:,"couple, kiss, medium-light skin tone, woman, kiss:, woman,, woman,, medium-light, skin, tone"
:kiss_woman_woman_medium-light_skin_tone_medium_skin_tone:,"couple, kiss, medium skin tone, medium-light skin tone, woman, kiss:, woman,, woman,, medium-light, skin, tone,, medium, skin, tone"
:kiss_woman_woman_medium-light_skin_tone_medium-dark_skin_tone:,"couple, kiss, medium-dark skin tone, medium-light skin tone, woman, kiss:, woman,, woman,, medium-light, skin, tone,, medium-dark, skin, tone"
:kiss_woman_woman_medium-light_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, medium-light skin tone, woman, kiss:, woman,, woman,, medium-light, skin, tone,, dark, skin, tone"
:kiss_woman_woman_medium_skin_tone_light_skin_tone:,"couple, kiss, light skin tone, medium skin tone, woman, kiss:, woman,, woman,, medium, skin, tone,, light, skin, tone"
:kiss_woman_woman_medium_skin_tone_medium-light_skin_tone:,"couple, kiss, medium skin tone, medium-light skin tone, woman, kiss:, woman,, woman,, medium, skin, tone,, medium-light, skin, tone"
:kiss_woman_woman_medium_skin_tone:,"couple, kiss, medium skin tone, woman, kiss:, woman,, woman,, medium, skin, tone"
:kiss_woman_woman_medium_skin_tone_medium-dark_skin_tone:,"couple, kiss, medium skin tone, medium-dark skin tone, woman, kiss:, woman,, woman,, medium, skin, tone,, medium-dark, skin, tone"
:kiss_woman_woman_medium_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, medium skin tone, woman, kiss:, woman,, woman,, medium, skin, tone,, dark, skin, tone"
:kiss_woman_woman_medium-dark_skin_tone_light_skin_tone:,"couple, kiss, light skin tone, medium-dark skin tone, woman, kiss:, woman,, woman,, medium-dark, skin, tone,, light, skin, tone"
:kiss_woman_woman_medium-dark_skin_tone_medium-light_skin_tone:,"couple, kiss, medium-dark skin tone, medium-light skin tone, woman, kiss:, woman,, woman,, medium-dark, skin, tone,, medium-light, skin, tone"
:kiss_woman_woman_medium-dark_skin_tone_medium_skin_tone:,"couple, kiss, medium skin tone, medium-dark skin tone, woman, kiss:, woman,, woman,, medium-dark, skin, tone,, medium, skin, tone"
:kiss_woman_woman_medium-dark_skin_tone:,"couple, kiss, medium-dark skin tone, woman, kiss:, woman,, woman,, medium-dark, skin, tone"
:kiss_woman_woman_medium-dark_skin_tone_dark_skin_tone:,"couple, dark skin tone, kiss, medium-dark skin tone, woman, kiss:, woman,, woman,, medium-dark, skin, tone,, dark, skin, tone"
:kiss_woman_woman_dark_skin_tone_light_skin_tone:,"couple, dark skin tone, kiss, light skin tone, woman, kiss:, woman,, woman,, dark, skin, tone,, light, skin, tone"
:kiss_woman_woman_dark_skin_tone_medium-light_skin_tone:,"couple, dark skin tone, kiss, medium-light skin tone, woman, kiss:, woman,, woman,, dark, skin, tone,, medium-light, skin, tone"
:kiss_woman_woman_dark_skin_tone_medium_skin_tone:,"couple, dark skin tone, kiss, medium skin tone, woman, kiss:, woman,, woman,, dark, skin, tone,, medium, skin, tone"
:kiss_woman_woman_dark_skin_tone_medium-dark_skin_tone:,"couple, dark skin tone, kiss, medium-dark skin tone, woman, kiss:, woman,, woman,, dark, skin, tone,, medium-dark, skin, tone"
:kiss_woman_woman_dark_skin_tone:,"couple, dark skin tone, kiss, woman, kiss:, woman,, woman,, dark, skin, tone"
:couple_with_heart:,"couple, couple with heart, love, couple, with, heart"
:couple_with_heart_light_skin_tone:,"couple, couple with heart, light skin tone, love, couple, with, heart:, light, skin, tone"
:couple_with_heart_medium-light_skin_tone:,"couple, couple with heart, love, medium-light skin tone, couple, with, heart:, medium-light, skin, tone"
:couple_with_heart_medium_skin_tone:,"couple, couple with heart, love, medium skin tone, couple, with, heart:, medium, skin, tone"
:couple_with_heart_medium-dark_skin_tone:,"couple, couple with heart, love, medium-dark skin tone, couple, with, heart:, medium-dark, skin, tone"
:couple_with_heart_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, couple, with, heart:, dark, skin, tone"
:couple_with_heart_person_person_light_skin_tone_medium-light_skin_tone:,"couple, couple with heart, light skin tone, love, medium-light skin tone, person, couple, with, heart:, person,, person,, light, skin, tone,, medium-light, skin, tone"
:couple_with_heart_person_person_light_skin_tone_medium_skin_tone:,"couple, couple with heart, light skin tone, love, medium skin tone, person, couple, with, heart:, person,, person,, light, skin, tone,, medium, skin, tone"
:couple_with_heart_person_person_light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, light skin tone, love, medium-dark skin tone, person, couple, with, heart:, person,, person,, light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_person_person_light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, person, couple, with, heart:, person,, person,, light, skin, tone,, dark, skin, tone"
:couple_with_heart_person_person_medium-light_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, medium-light skin tone, person, couple, with, heart:, person,, person,, medium-light, skin, tone,, light, skin, tone"
:couple_with_heart_person_person_medium-light_skin_tone_medium_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-light skin tone, person, couple, with, heart:, person,, person,, medium-light, skin, tone,, medium, skin, tone"
:couple_with_heart_person_person_medium-light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, medium-dark skin tone, medium-light skin tone, person, couple, with, heart:, person,, person,, medium-light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_person_person_medium-light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-light skin tone, person, couple, with, heart:, person,, person,, medium-light, skin, tone,, dark, skin, tone"
:couple_with_heart_person_person_medium_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, medium skin tone, person, couple, with, heart:, person,, person,, medium, skin, tone,, light, skin, tone"
:couple_with_heart_person_person_medium_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-light skin tone, person, couple, with, heart:, person,, person,, medium, skin, tone,, medium-light, skin, tone"
:couple_with_heart_person_person_medium_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-dark skin tone, person, couple, with, heart:, person,, person,, medium, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_person_person_medium_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium skin tone, person, couple, with, heart:, person,, person,, medium, skin, tone,, dark, skin, tone"
:couple_with_heart_person_person_medium-dark_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, medium-dark skin tone, person, couple, with, heart:, person,, person,, medium-dark, skin, tone,, light, skin, tone"
:couple_with_heart_person_person_medium-dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, medium-dark skin tone, medium-light skin tone, person, couple, with, heart:, person,, person,, medium-dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_person_person_medium-dark_skin_tone_medium_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-dark skin tone, person, couple, with, heart:, person,, person,, medium-dark, skin, tone,, medium, skin, tone"
:couple_with_heart_person_person_medium-dark_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-dark skin tone, person, couple, with, heart:, person,, person,, medium-dark, skin, tone,, dark, skin, tone"
:couple_with_heart_person_person_dark_skin_tone_light_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, person, couple, with, heart:, person,, person,, dark, skin, tone,, light, skin, tone"
:couple_with_heart_person_person_dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-light skin tone, person, couple, with, heart:, person,, person,, dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_person_person_dark_skin_tone_medium_skin_tone:,"couple, couple with heart, dark skin tone, love, medium skin tone, person, couple, with, heart:, person,, person,, dark, skin, tone,, medium, skin, tone"
:couple_with_heart_person_person_dark_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-dark skin tone, person, couple, with, heart:, person,, person,, dark, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_man:,"couple, couple with heart, love, man, woman, couple, with, heart:, woman,, man"
:couple_with_heart_woman_man_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, woman, couple, with, heart:, woman,, man,, light, skin, tone"
:couple_with_heart_woman_man_light_skin_tone_medium-light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-light skin tone, woman, couple, with, heart:, woman,, man,, light, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_man_light_skin_tone_medium_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium skin tone, woman, couple, with, heart:, woman,, man,, light, skin, tone,, medium, skin, tone"
:couple_with_heart_woman_man_light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-dark skin tone, woman, couple, with, heart:, woman,, man,, light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_man_light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, man, woman, couple, with, heart:, woman,, man,, light, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_man_medium-light_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-light skin tone, woman, couple, with, heart:, woman,, man,, medium-light, skin, tone,, light, skin, tone"
:couple_with_heart_woman_man_medium-light_skin_tone:,"couple, couple with heart, love, man, medium-light skin tone, woman, couple, with, heart:, woman,, man,, medium-light, skin, tone"
:couple_with_heart_woman_man_medium-light_skin_tone_medium_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, man,, medium-light, skin, tone,, medium, skin, tone"
:couple_with_heart_woman_man_medium-light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, man, medium-dark skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, man,, medium-light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_man_medium-light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-light skin tone, woman, couple, with, heart:, woman,, man,, medium-light, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_man_medium_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium skin tone, woman, couple, with, heart:, woman,, man,, medium, skin, tone,, light, skin, tone"
:couple_with_heart_woman_man_medium_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, man,, medium, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_man_medium_skin_tone:,"couple, couple with heart, love, man, medium skin tone, woman, couple, with, heart:, woman,, man,, medium, skin, tone"
:couple_with_heart_woman_man_medium_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-dark skin tone, woman, couple, with, heart:, woman,, man,, medium, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_man_medium_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium skin tone, woman, couple, with, heart:, woman,, man,, medium, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_man_medium-dark_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-dark skin tone, woman, couple, with, heart:, woman,, man,, medium-dark, skin, tone,, light, skin, tone"
:couple_with_heart_woman_man_medium-dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, man, medium-dark skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, man,, medium-dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_man_medium-dark_skin_tone_medium_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-dark skin tone, woman, couple, with, heart:, woman,, man,, medium-dark, skin, tone,, medium, skin, tone"
:couple_with_heart_woman_man_medium-dark_skin_tone:,"couple, couple with heart, love, man, medium-dark skin tone, woman, couple, with, heart:, woman,, man,, medium-dark, skin, tone"
:couple_with_heart_woman_man_medium-dark_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-dark skin tone, woman, couple, with, heart:, woman,, man,, medium-dark, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_man_dark_skin_tone_light_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, man, woman, couple, with, heart:, woman,, man,, dark, skin, tone,, light, skin, tone"
:couple_with_heart_woman_man_dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-light skin tone, woman, couple, with, heart:, woman,, man,, dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_man_dark_skin_tone_medium_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium skin tone, woman, couple, with, heart:, woman,, man,, dark, skin, tone,, medium, skin, tone"
:couple_with_heart_woman_man_dark_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-dark skin tone, woman, couple, with, heart:, woman,, man,, dark, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_man_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, woman, couple, with, heart:, woman,, man,, dark, skin, tone"
:couple_with_heart_man_man:,"couple, couple with heart, love, man, couple, with, heart:, man,, man"
:couple_with_heart_man_man_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, couple, with, heart:, man,, man,, light, skin, tone"
:couple_with_heart_man_man_light_skin_tone_medium-light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-light skin tone, couple, with, heart:, man,, man,, light, skin, tone,, medium-light, skin, tone"
:couple_with_heart_man_man_light_skin_tone_medium_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium skin tone, couple, with, heart:, man,, man,, light, skin, tone,, medium, skin, tone"
:couple_with_heart_man_man_light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-dark skin tone, couple, with, heart:, man,, man,, light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_man_man_light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, man, couple, with, heart:, man,, man,, light, skin, tone,, dark, skin, tone"
:couple_with_heart_man_man_medium-light_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-light skin tone, couple, with, heart:, man,, man,, medium-light, skin, tone,, light, skin, tone"
:couple_with_heart_man_man_medium-light_skin_tone:,"couple, couple with heart, love, man, medium-light skin tone, couple, with, heart:, man,, man,, medium-light, skin, tone"
:couple_with_heart_man_man_medium-light_skin_tone_medium_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-light skin tone, couple, with, heart:, man,, man,, medium-light, skin, tone,, medium, skin, tone"
:couple_with_heart_man_man_medium-light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, man, medium-dark skin tone, medium-light skin tone, couple, with, heart:, man,, man,, medium-light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_man_man_medium-light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-light skin tone, couple, with, heart:, man,, man,, medium-light, skin, tone,, dark, skin, tone"
:couple_with_heart_man_man_medium_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium skin tone, couple, with, heart:, man,, man,, medium, skin, tone,, light, skin, tone"
:couple_with_heart_man_man_medium_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-light skin tone, couple, with, heart:, man,, man,, medium, skin, tone,, medium-light, skin, tone"
:couple_with_heart_man_man_medium_skin_tone:,"couple, couple with heart, love, man, medium skin tone, couple, with, heart:, man,, man,, medium, skin, tone"
:couple_with_heart_man_man_medium_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-dark skin tone, couple, with, heart:, man,, man,, medium, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_man_man_medium_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium skin tone, couple, with, heart:, man,, man,, medium, skin, tone,, dark, skin, tone"
:couple_with_heart_man_man_medium-dark_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, man, medium-dark skin tone, couple, with, heart:, man,, man,, medium-dark, skin, tone,, light, skin, tone"
:couple_with_heart_man_man_medium-dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, man, medium-dark skin tone, medium-light skin tone, couple, with, heart:, man,, man,, medium-dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_man_man_medium-dark_skin_tone_medium_skin_tone:,"couple, couple with heart, love, man, medium skin tone, medium-dark skin tone, couple, with, heart:, man,, man,, medium-dark, skin, tone,, medium, skin, tone"
:couple_with_heart_man_man_medium-dark_skin_tone:,"couple, couple with heart, love, man, medium-dark skin tone, couple, with, heart:, man,, man,, medium-dark, skin, tone"
:couple_with_heart_man_man_medium-dark_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-dark skin tone, couple, with, heart:, man,, man,, medium-dark, skin, tone,, dark, skin, tone"
:couple_with_heart_man_man_dark_skin_tone_light_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, man, couple, with, heart:, man,, man,, dark, skin, tone,, light, skin, tone"
:couple_with_heart_man_man_dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-light skin tone, couple, with, heart:, man,, man,, dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_man_man_dark_skin_tone_medium_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium skin tone, couple, with, heart:, man,, man,, dark, skin, tone,, medium, skin, tone"
:couple_with_heart_man_man_dark_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, medium-dark skin tone, couple, with, heart:, man,, man,, dark, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_man_man_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, man, couple, with, heart:, man,, man,, dark, skin, tone"
:couple_with_heart_woman_woman:,"couple, couple with heart, love, woman, couple, with, heart:, woman,, woman"
:couple_with_heart_woman_woman_light_skin_tone:,"couple, couple with heart, light skin tone, love, woman, couple, with, heart:, woman,, woman,, light, skin, tone"
:couple_with_heart_woman_woman_light_skin_tone_medium-light_skin_tone:,"couple, couple with heart, light skin tone, love, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, light, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_woman_light_skin_tone_medium_skin_tone:,"couple, couple with heart, light skin tone, love, medium skin tone, woman, couple, with, heart:, woman,, woman,, light, skin, tone,, medium, skin, tone"
:couple_with_heart_woman_woman_light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, light skin tone, love, medium-dark skin tone, woman, couple, with, heart:, woman,, woman,, light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_woman_light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, woman, couple, with, heart:, woman,, woman,, light, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_woman_medium-light_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, medium-light, skin, tone,, light, skin, tone"
:couple_with_heart_woman_woman_medium-light_skin_tone:,"couple, couple with heart, love, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, medium-light, skin, tone"
:couple_with_heart_woman_woman_medium-light_skin_tone_medium_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, medium-light, skin, tone,, medium, skin, tone"
:couple_with_heart_woman_woman_medium-light_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, medium-dark skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, medium-light, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_woman_medium-light_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, medium-light, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_woman_medium_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, medium skin tone, woman, couple, with, heart:, woman,, woman,, medium, skin, tone,, light, skin, tone"
:couple_with_heart_woman_woman_medium_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, medium, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_woman_medium_skin_tone:,"couple, couple with heart, love, medium skin tone, woman, couple, with, heart:, woman,, woman,, medium, skin, tone"
:couple_with_heart_woman_woman_medium_skin_tone_medium-dark_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-dark skin tone, woman, couple, with, heart:, woman,, woman,, medium, skin, tone,, medium-dark, skin, tone"
:couple_with_heart_woman_woman_medium_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium skin tone, woman, couple, with, heart:, woman,, woman,, medium, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_woman_medium-dark_skin_tone_light_skin_tone:,"couple, couple with heart, light skin tone, love, medium-dark skin tone, woman, couple, with, heart:, woman,, woman,, medium-dark, skin, tone,, light, skin, tone"
:couple_with_heart_woman_woman_medium-dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, love, medium-dark skin tone, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, medium-dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_woman_medium-dark_skin_tone_medium_skin_tone:,"couple, couple with heart, love, medium skin tone, medium-dark skin tone, woman, couple, with, heart:, woman,, woman,, medium-dark, skin, tone,, medium, skin, tone"
:couple_with_heart_woman_woman_medium-dark_skin_tone:,"couple, couple with heart, love, medium-dark skin tone, woman, couple, with, heart:, woman,, woman,, medium-dark, skin, tone"
:couple_with_heart_woman_woman_medium-dark_skin_tone_dark_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-dark skin tone, woman, couple, with, heart:, woman,, woman,, medium-dark, skin, tone,, dark, skin, tone"
:couple_with_heart_woman_woman_dark_skin_tone_light_skin_tone:,"couple, couple with heart, dark skin tone, light skin tone, love, woman, couple, with, heart:, woman,, woman,, dark, skin, tone,, light, skin, tone"
:couple_with_heart_woman_woman_dark_skin_tone_medium-light_skin_tone:,"couple, couple with heart, dark skin tone, love, medium-light skin tone, woman, couple, with, heart:, woman,, woman,, dark, skin, tone,, medium-light, skin, tone"
:couple_with_heart_woman_woman_dark_skin_tone_medium_skin_tone:,"couple, couple with heart, dark skin tone, love, medium skin tone, woman, couple, with, heart:, woman,, woman,, dark, skin, tone,, medium, skin, tone"
